32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.05	1.00	0.70	0.70	0.00	0.49
x1	1.00	0.05	0.27	0.74	0.71	0.00	0.55
x2	0.00	0.04	0.49	0.44	0.51	0.00	0.30
x3	0.00	0.01	0.55	0.19	0.10	0.09	0.17
x4	0.00	0.03	0.05	0.67	1.00	0.00	0.35
x5	0.00	0.17	0.15	0.89	0.15	0.00	0.27
x6	0.00	0.16	0.02	0.85	0.02	0.09	0.21
x7	0.00	0.15	0.03	0.78	0.61	0.00	0.31
x8	0.00	0.06	0.14	0.59	0.58	0.00	0.27
x9	0.00	0.09	0.11	0.63	0.93	0.00	0.35
x10	0.00	0.06	0.05	0.48	0.20	0.03	0.16
x11	0.00	0.01	0.09	0.33	0.16	0.00	0.12
x12	0.00	0.05	0.10	0.93	0.14	0.00	0.24
x13	0.00	0.51	0.07	1.00	0.13	0.01	0.34
x14	0.00	0.62	0.04	1.00	0.24	0.00	0.38
x15	0.00	0.52	0.04	1.00	0.47	0.00	0.41
x16	0.00	0.00	0.01	0.07	0.00	0.17	0.02
x17	0.00	0.04	0.01	0.41	0.10	0.06	0.11
x18	0.00	0.12	0.03	0.52	0.88	0.26	0.31
x19	0.00	0.07	0.06	0.56	0.57	0.02	0.25
x20	0.68	0.01	0.08	0.15	0.16	0.00	0.22
x21	0.63	0.01	0.01	0.11	0.14	0.00	0.18
x22	0.89	0.01	0.01	0.30	0.17	0.00	0.28
x23	0.54	0.00	0.02	0.00	0.06	0.00	0.12
x24	0.00	0.01	0.02	0.26	0.24	0.83	0.11
x25	0.00	0.03	0.02	0.37	0.12	0.65	0.11
x26	0.00	0.01	0.02	0.22	0.36	0.98	0.12
x27	0.00	0.00	0.07	0.04	0.04	0.90	0.03
x28	0.00	0.12	0.00	0.81	0.74	0.55	0.33
x29	0.00	0.37	0.02	0.96	0.29	0.91	0.33
x30	0.00	1.00	0.04	1.00	0.04	0.54	0.42
x31	0.00	0.44	0.01	1.00	0.27	1.00	0.34
32
	Lasso		Lin		RF		RFE		Ridge		p_val		Mean
x0	0.00	0.00	0.40	0.00	0.06	1.00	0.09
x1	0.00	0.07	1.00	0.63	0.86	0.05	0.51
x2	0.00	0.00	0.61	0.11	0.23	0.65	0.19
x3	0.00	0.02	0.64	0.26	0.18	0.58	0.22
x4	0.00	0.15	0.50	0.93	0.95	0.07	0.51
x5	0.00	0.43	0.27	1.00	0.22	0.01	0.38
x6	0.00	0.48	0.25	1.00	0.15	0.26	0.38
x7	0.00	0.34	0.26	1.00	1.00	0.18	0.52
x8	0.00	0.02	0.78	0.30	0.28	0.25	0.28
